Temperature,Frequency,Storage Modulus
30,0.1,360.87
30,0.113,364.22
30,0.127,367.94
30,0.143,371.66
30,0.16,375.45
30,0.18,379.41
30,0.203,383.28
30,0.229,387.17
30,0.257,391.07
30,0.289,394.94
30,0.326,398.67
30,0.367,402.46
30,0.412,406.21
30,0.464,409.92
30,0.522,413.59
30,0.588,417.21
30,0.661,420.81
30,0.744,424.38
30,0.838,427.88
30,0.943,431.35
30,1.06,434.78
30,1.19,438.16
30,1.34,441.49
30,1.51,444.77
30,1.7,448.01
30,1.91,451.2
30,2.15,454.32
30,2.42,457.4
30,2.73,460.43
30,3.07,463.39
30,3.46,466.3
30,3.89,469.15
30,4.38,471.95
30,4.92,474.71
30,5.54,477.41
30,6.24,480.07
30,7.02,482.67
30,7.9,485.26
30,8.89,487.79
30,10,490.33
40,0.1,272.4
40,0.113,274.07
40,0.127,276.74
40,0.143,280.12
40,0.16,283.82
40,0.18,287.5
40,0.203,291.26
40,0.229,295
40,0.257,298.64
40,0.289,302.38
40,0.326,305.91
40,0.367,309.42
40,0.412,312.92
40,0.464,316.37
40,0.522,319.81
40,0.588,323.22
40,0.661,326.63
40,0.744,330.01
40,0.838,333.36
40,0.943,336.69
40,1.06,339.99
40,1.19,343.26
40,1.34,346.52
40,1.51,349.75
40,1.7,352.95
40,1.91,356.14
40,2.15,359.29
40,2.42,362.41
40,2.73,365.49
40,3.07,368.55
40,3.46,371.55
40,3.89,374.53
40,4.38,377.24
40,4.92,380.19
40,5.54,383.08
40,6.24,385.96
40,7.02,389.07
40,7.9,391.89
40,8.89,394.98
40,10,397.54
50,0.1,201.89
50,0.113,203.75
50,0.127,206.47
50,0.143,209.59
50,0.16,212.89
50,0.18,216.16
50,0.203,219.47
50,0.229,222.68
50,0.257,225.77
50,0.289,228.93
50,0.326,232.01
50,0.367,234.95
50,0.412,237.95
50,0.464,240.91
50,0.522,243.85
50,0.588,246.81
50,0.661,249.75
50,0.744,252.67
50,0.838,255.61
50,0.943,258.51
50,1.06,261.44
50,1.19,264.62
50,1.34,267.51
50,1.51,270.41
50,1.7,273.04
50,1.91,275.92
50,2.15,278.79
50,2.42,281.67
50,2.73,284.53
50,3.07,287.38
50,3.46,290.22
50,3.89,293.07
50,4.38,295.92
50,4.92,298.76
50,5.54,301.68
50,6.24,304.68
50,7.02,307.53
50,7.9,310.26
50,8.89,313.26
50,10,315.83
60,0.1,149.45
60,0.113,151.27
60,0.127,153.7
60,0.143,156.43
60,0.16,159.26
60,0.18,162.08
60,0.203,164.88
60,0.229,167.6
60,0.257,170.31
60,0.289,172.85
60,0.326,175.42
60,0.367,177.96
60,0.412,180.45
60,0.464,182.95
60,0.522,185.4
60,0.588,187.86
60,0.661,190.33
60,0.744,192.77
60,0.838,195.22
60,0.943,197.67
60,1.06,200.13
60,1.19,202.58
60,1.34,205.05
60,1.51,207.51
60,1.7,209.97
60,1.91,212.45
60,2.15,214.94
60,2.42,217.41
60,2.73,219.93
60,3.07,222.46
60,3.46,225.06
60,3.89,227.6
60,4.38,230.13
60,4.92,232.67
60,5.54,235.23
60,6.24,237.81
60,7.02,240.42
60,7.9,242.95
60,8.89,245.46
60,10,248.09
70,0.1,107.21
70,0.113,108.72
70,0.127,110.78
70,0.143,113.1
70,0.16,115.5
70,0.18,117.89
70,0.203,120.28
70,0.229,122.6
70,0.257,124.93
70,0.289,127.11
70,0.326,129.32
70,0.367,131.46
70,0.412,133.61
70,0.464,135.7
70,0.522,137.78
70,0.588,139.86
70,0.661,141.94
70,0.744,144.01
70,0.838,146.05
70,0.943,148.1
70,1.06,150.15
70,1.19,152.2
70,1.34,154.25
70,1.51,156.3
70,1.7,158.36
70,1.91,160.43
70,2.15,162.5
70,2.42,164.59
70,2.73,166.67
70,3.07,168.77
70,3.46,170.89
70,3.89,173.02
70,4.38,175.18
70,4.92,177.36
70,5.54,179.57
70,6.24,181.79
70,7.02,184.08
70,7.9,186.31
70,8.89,188.48
70,10,190.83
80,0.1,73.105
80,0.113,74.253
80,0.127,75.779
80,0.143,77.532
80,0.16,79.415
80,0.18,81.316
80,0.203,83.212
80,0.229,85.091
80,0.257,86.957
80,0.289,88.756
80,0.326,90.567
80,0.367,92.345
80,0.412,94.157
80,0.464,95.888
80,0.522,97.666
80,0.588,99.399
80,0.661,101.15
80,0.744,102.9
80,0.838,104.62
80,0.943,106.37
80,1.06,108.1
80,1.19,109.82
80,1.34,111.55
80,1.51,113.25
80,1.7,114.99
80,1.91,116.72
80,2.15,118.46
80,2.42,120.18
80,2.73,121.94
80,3.07,123.7
80,3.46,125.48
80,3.89,127.28
80,4.38,129.08
80,4.92,130.92
80,5.54,132.78
80,6.24,134.69
80,7.02,136.65
80,7.9,138.4
80,8.89,140.39
80,10,142.43
90,0.1,48.012
90,0.113,48.746
90,0.127,49.79
90,0.143,50.984
90,0.16,52.251
90,0.18,53.59
90,0.203,54.915
90,0.229,56.249
90,0.257,57.561
90,0.289,58.903
90,0.326,60.252
90,0.367,61.58
90,0.412,62.95
90,0.464,64.277
90,0.522,65.614
90,0.588,66.983
90,0.661,68.343
90,0.744,69.721
90,0.838,71.104
90,0.943,72.505
90,1.06,73.891
90,1.19,75.298
90,1.34,76.703
90,1.51,78.109
90,1.7,79.531
90,1.91,80.954
90,2.15,82.385
90,2.42,83.824
90,2.73,85.266
90,3.07,86.732
90,3.46,88.201
90,3.89,89.69
90,4.38,91.196
90,4.92,92.733
90,5.54,94.302
90,6.24,95.912
90,7.02,97.585
90,7.9,99.034
90,8.89,100.75
90,10,102.5
100,0.1,31.165
100,0.113,31.596
100,0.127,32.248
100,0.143,33.015
100,0.16,33.81
100,0.18,34.634
100,0.203,35.525
100,0.229,36.395
100,0.257,37.252
100,0.289,38.135
100,0.326,39.035
100,0.367,39.892
100,0.412,40.833
100,0.464,41.702
100,0.522,42.609
100,0.588,43.541
100,0.661,44.497
100,0.744,45.451
100,0.838,46.44
100,0.943,47.424
100,1.06,48.44
100,1.19,49.475
100,1.34,50.514
100,1.51,51.569
100,1.7,52.64
100,1.91,53.717
100,2.15,54.816
100,2.42,55.933
100,2.73,57.061
100,3.07,58.207
100,3.46,59.369
100,3.89,60.545
100,4.38,61.761
100,4.92,63.003
100,5.54,64.287
100,6.24,65.609
100,7.02,66.795
100,7.9,68.151
100,8.89,69.589
100,10,71.111
110,0.1,19.677
110,0.113,19.862
110,0.127,20.202
110,0.143,20.662
110,0.16,21.155
110,0.18,21.68
110,0.203,22.21
110,0.229,22.733
110,0.257,23.272
110,0.289,23.824
110,0.326,24.358
110,0.367,24.902
110,0.412,25.461
110,0.464,26.022
110,0.522,26.598
110,0.588,27.187
110,0.661,27.783
110,0.744,28.4
110,0.838,29.03
110,0.943,29.67
110,1.06,30.328
110,1.19,31.003
110,1.34,31.696
110,1.51,32.398
110,1.7,33.126
110,1.91,33.869
110,2.15,34.625
110,2.42,35.406
110,2.73,36.201
110,3.07,37.024
110,3.46,37.863
110,3.89,38.734
110,4.38,39.639
110,4.92,40.573
110,5.54,41.552
110,6.24,42.585
110,7.02,43.703
110,7.9,44.579
110,8.89,45.759
110,10,47.002
120,0.1,9.1901
120,0.113,8.9623
120,0.127,8.9728
120,0.143,9.1107
120,0.16,9.3675
120,0.18,9.6403
120,0.203,9.9519
120,0.229,10.247
120,0.257,10.552
120,0.289,10.86
120,0.326,11.152
120,0.367,11.46
120,0.412,11.763
120,0.464,12.069
120,0.522,12.377
120,0.588,12.691
120,0.661,13.018
120,0.744,13.353
120,0.838,13.677
120,0.943,14.027
120,1.06,14.388
120,1.19,14.746
120,1.34,15.125
120,1.51,15.508
120,1.7,15.91
120,1.91,16.316
120,2.15,16.737
120,2.42,17.177
120,2.73,17.632
120,3.07,18.105
120,3.46,18.601
120,3.89,19.126
120,4.38,19.67
120,4.92,20.261
120,5.54,20.888
120,6.24,21.572
120,7.02,22.329
120,7.9,22.859
120,8.89,23.697
120,10,24.64
